Zone,Annee,Precipitation_annuelle_mm,Precipitation_max_24h_mm,Temperature_moy_C,Humidite_pct,Niveau_eau_moy_m,Elevation_moy_m,Couverture_forest_pct,Surface_impermeable_pct,Drainage_capacite_pct,Densite_pop_km2,PIB_habitant_USD,Infra_protection_pct,Qualite_construction_idx,Alerte_precoce_idx,Subsidence_cm_an,Cyclones_an,ma3_Risque,lag1_Risque,Indice_Risque_Inondation,Degats_millions_USD,Population_a_risque_M,Zone_enc,lag1_Indice_Risque_Inondation,ma3_Indice_Risque_Inondation,lag1_Degats_millions_USD,ma3_Degats_millions_USD,lag1_Population_a_risque_M,ma3_Population_a_risque_M
Ganges_Bengale,2022,2286.1,214.9,27.59,78.5,3.22,9.3,40.2,28.38,100.0,3143.8,5648.5,88.99,100.0,94.07,0.52,1,87.89,88.48,96.48,1072.5,35.38,3,82.65,91.79,847.4,981.4000000000001,34.59,34.91666666666667
Ganges_Bengale,2023,1646.7,113.0,27.28,81.4,3.04,13.7,42.23,33.5,100.0,3720.8,5396.1,84.29,100.0,91.13,1.29,2,92.2,88.16,84.27,780.5,34.16,3,96.48,87.8,1072.5,900.1333333333333,35.38,34.71
Ganges_Bengale,2024,1064.8,130.4,26.8,75.8,2.93,10.1,47.42,34.92,100.0,3882.9,5779.1,82.71,100.0,90.28,0.75,0,91.11,89.54,85.39,809.9,34.32,3,84.27,88.71333333333332,780.5,887.6333333333333,34.16,34.62
Ho_Chi_Minh_Ville,2015,2206.9,148.3,27.24,76.3,4.46,11.7,45.16,48.85,61.65,1262.5,3503.1,45.31,59.86,50.17,0.98,3,61.91,60.86,71.65,1074.8,12.63,4,60.58,66.11500000000001,761.9,918.3499999999999,10.42,11.525
Ho_Chi_Minh_Ville,2016,1318.9,142.2,26.83,78.5,3.61,12.8,44.28,52.53,60.42,1489.9,3169.0,42.04,65.34,43.34,1.33,3,62.06,63.4,61.44,842.4,10.58,4,71.65,64.55666666666667,1074.8,893.0333333333333,12.63,11.21
Ho_Chi_Minh_Ville,2017,1327.5,87.0,27.68,81.0,3.56,8.5,52.05,49.25,53.79,1306.7,2928.6,53.84,62.69,51.12,1.7,1,62.32,62.91,65.51,748.8,10.41,4,61.44,66.2,842.4,888.6666666666666,10.58,11.206666666666665
Ho_Chi_Minh_Ville,2018,2063.4,162.7,27.24,73.3,5.47,6.6,42.19,51.9,74.36,955.0,3875.1,52.99,66.89,43.68,1.29,2,64.52,61.83,73.32,1111.6,12.45,4,65.51,66.75666666666666,748.8,900.9333333333334,10.41,11.146666666666667
Ho_Chi_Minh_Ville,2019,1747.4,136.1,28.12,72.7,4.11,22.0,41.24,58.19,63.68,950.5,3208.3,54.74,60.81,46.1,1.3,2,63.7,63.29,65.87,790.3,10.81,4,73.32,68.23333333333333,1111.6,883.5666666666666,12.45,11.223333333333334
Ho_Chi_Minh_Ville,2020,1651.8,218.7,26.67,81.4,4.27,12.8,40.73,49.95,56.48,1018.9,3222.8,50.86,70.25,47.37,0.56,1,63.58,64.66,82.22,1171.7,13.06,4,65.87,73.80333333333334,790.3,1024.5333333333335,10.81,12.106666666666667
Ho_Chi_Minh_Ville,2021,2044.3,130.0,27.73,77.0,2.92,9.3,42.85,53.68,75.03,1251.3,3693.7,47.92,63.84,43.45,0.63,2,63.01,64.13,63.03,864.5,11.67,4,82.22,70.37333333333333,1171.7,942.1666666666669,13.06,11.84666666666667
Ho_Chi_Minh_Ville,2022,1911.8,214.9,26.92,80.1,4.88,12.8,30.83,54.05,71.75,1345.5,3493.8,41.79,62.0,52.66,1.21,3,62.83,63.49,80.18,1153.4,12.44,4,63.03,75.14333333333333,864.5,1063.2,11.67,12.39
Ho_Chi_Minh_Ville,2023,1674.3,125.2,26.78,73.1,3.95,10.9,45.08,60.09,55.09,1105.1,3317.2,57.97,57.62,60.78,1.07,1,62.76,62.48,67.17,800.8,10.88,4,80.18,70.12666666666667,1153.4,939.566666666667,12.44,11.663333333333332
Ho_Chi_Minh_Ville,2024,1434.7,97.1,29.37,79.3,3.96,16.6,34.89,60.26,53.46,1096.2,3262.3,53.91,67.09,50.77,0.99,1,61.2,63.87,65.09,954.1,10.78,4,67.17,70.81333333333335,800.8,969.4333333333335,10.88,11.366666666666667
Irrawaddy_Delta,2015,1815.1,142.9,26.89,82.3,4.4,7.1,52.89,26.21,45.77,281.8,2731.8,40.13,59.91,37.52,0.8,3,88.14,85.99,100.0,540.3,6.92,5,90.63,95.315,346.6,443.45,5.27,6.095
Irrawaddy_Delta,2016,1694.5,141.3,26.95,76.1,3.83,8.5,40.35,35.26,53.87,756.0,3057.6,39.71,53.98,40.85,0.64,2,88.15,86.85,96.19,331.4,4.47,5,100.0,95.60666666666667,540.3,406.09999999999997,6.92,5.553333333333334
Irrawaddy_Delta,2017,1909.3,141.4,26.27,79.8,4.28,6.9,57.09,26.33,56.07,848.3,2927.4,38.88,51.15,39.52,1.41,2,89.25,86.78,90.59,357.0,4.8,5,96.19,95.59333333333332,331.4,409.5666666666666,4.47,5.396666666666666
Irrawaddy_Delta,2018,2224.6,183.2,29.21,78.6,4.39,7.4,40.61,31.83,58.44,642.8,2442.0,35.57,50.55,38.17,1.6,1,87.62,88.17,99.35,491.1,6.82,5,90.59,95.37666666666667,357.0,393.1666666666667,4.8,5.363333333333333
Irrawaddy_Delta,2019,1286.2,125.8,27.02,76.3,3.79,13.9,51.7,26.73,55.89,589.4,2746.5,38.51,53.59,39.06,0.71,1,87.46,88.28,90.73,446.6,4.84,5,99.35,93.55666666666667,491.1,431.56666666666666,6.82,5.486666666666667
Irrawaddy_Delta,2020,2015.2,208.9,28.11,77.8,4.28,7.8,37.45,32.42,56.92,758.4,2638.9,41.89,49.08,42.32,0.96,2,87.57,87.92,100.0,568.3,6.8,5,90.73,96.69333333333333,446.6,502.0,4.84,6.153333333333333
Irrawaddy_Delta,2021,2012.9,164.0,26.5,78.2,3.28,5.7,52.91,32.58,55.2,743.3,2439.8,36.82,47.37,34.87,0.0,2,90.47,88.18,87.86,373.6,4.99,5,100.0,92.86333333333334,568.3,462.8333333333333,6.8,5.543333333333333
Irrawaddy_Delta,2022,1634.7,205.8,27.89,74.5,4.78,13.1,52.11,42.6,49.09,1204.8,2653.7,38.44,55.24,36.89,1.2,1,87.71,89.54,100.0,568.5,7.24,5,87.86,95.95333333333333,373.6,503.4666666666667,4.99,6.343333333333334
Irrawaddy_Delta,2023,1896.2,70.3,27.74,77.2,3.72,11.2,36.33,31.46,44.12,535.2,3179.1,41.1,47.1,37.87,0.26,1,88.47,86.59,89.2,434.7,5.1,5,100.0,92.35333333333334,568.5,458.93333333333334,7.24,5.776666666666666
Irrawaddy_Delta,2024,1466.5,143.2,27.93,79.0,3.93,6.2,44.71,33.99,54.01,595.1,2662.8,38.55,56.34,47.35,1.59,0,89.55,87.62,95.41,380.6,5.1,5,89.2,94.87,434.7,461.26666666666665,5.1,5.8133333333333335
Jakarta_Jabodetabek,2015,2024.8,189.3,26.13,74.5,4.48,6.5,42.04,32.0,95.29,3326.1,5387.2,67.44,95.54,68.07,3.61,3,81.5,82.55,91.73,1838.2,29.95,6,82.88,87.305,1247.4,1542.8000000000002,28.05,29.0
Jakarta_Jabodetabek,2016,1513.7,117.2,26.04,74.5,4.01,13.6,49.65,31.97,100.0,2664.8,4958.9,75.46,100.0,83.43,4.77,2,81.15,82.14,83.38,1237.2,27.84,6,91.73,85.99666666666667,1838.2,1440.9333333333334,29.95,28.613333333333333
Jakarta_Jabodetabek,2017,1453.3,168.2,25.43,81.6,3.08,6.5,50.0,33.7,100.0,3175.1,5678.0,78.69,99.82,82.21,4.62,1,81.22,81.63,81.24,1340.5,27.49,6,83.38,85.45,1237.2,1471.9666666666665,27.84,28.426666666666666
Jakarta_Jabodetabek,2018,1935.9,206.0,26.74,83.0,3.63,16.8,47.18,26.85,100.0,3007.3,4816.8,69.16,99.7,80.36,4.05,2,82.76,81.53,92.65,1807.9,29.7,6,81.24,85.75666666666666,1340.5,1461.8666666666668,27.49,28.343333333333334
Jakarta_Jabodetabek,2019,1631.1,90.6,27.28,81.9,3.1,16.2,41.33,37.76,99.17,2856.9,5306.2,74.32,96.79,79.11,3.98,3,79.68,82.03,81.84,1370.6,28.87,6,92.65,85.24333333333333,1807.9,1506.3333333333333,29.7,28.686666666666667
Jakarta_Jabodetabek,2020,1907.7,174.5,27.65,78.3,4.19,14.1,39.94,31.17,98.56,3300.6,4153.7,78.78,100.0,73.6,4.15,3,82.71,78.82,98.73,1755.5,30.79,6,81.84,91.07333333333334,1370.6,1644.6666666666667,28.87,29.786666666666665
Jakarta_Jabodetabek,2021,1757.3,93.7,27.74,76.8,2.57,16.7,39.02,30.94,99.38,3089.4,5122.8,79.84,94.7,78.79,3.94,3,81.86,83.3,80.6,1349.3,28.59,6,98.73,87.05666666666667,1755.5,1491.8,30.79,29.416666666666668
Jakarta_Jabodetabek,2022,1889.5,198.1,28.34,79.1,5.01,8.1,40.53,31.83,100.0,2968.2,5378.9,72.74,100.0,86.43,2.97,4,81.66,79.57,95.93,1906.1,30.86,6,80.6,91.75333333333333,1349.3,1670.3,28.59,30.08
Jakarta_Jabodetabek,2023,1842.4,142.4,27.51,79.4,3.58,19.1,34.9,34.92,100.0,3207.7,4926.8,68.98,100.0,84.91,4.74,0,83.39,84.84,86.48,1368.9,29.0,6,95.93,87.67,1906.1,1541.4333333333334,30.86,29.483333333333334
Jakarta_Jabodetabek,2024,1554.2,136.9,26.83,82.7,3.09,5.0,47.53,28.18,100.0,3673.5,5196.4,72.4,100.0,83.75,4.08,2,80.75,84.03,85.56,1495.7,29.03,6,86.48,89.32333333333334,1368.9,1590.2333333333333,29.0,29.63
Manila_Bay,2015,2248.0,185.5,27.23,72.1,3.21,11.1,45.93,27.12,60.76,1417.3,3488.9,49.11,70.1,43.03,0.82,4,76.08,76.15,94.15,565.6,13.89,7,70.9,82.525,500.6,533.1,11.2,12.545
Manila_Bay,2016,2009.2,110.3,27.75,75.1,3.19,13.5,48.39,34.36,74.25,1296.5,3698.1,48.39,70.91,50.44,1.22,2,74.07,74.65,74.21,400.9,11.91,7,94.15,79.75333333333333,565.6,489.0333333333333,13.89,12.333333333333334
Manila_Bay,2017,1776.5,129.8,26.19,82.1,4.56,12.6,46.65,32.11,69.25,1291.1,3349.6,54.93,78.33,42.9,0.95,1,77.91,75.29,71.62,486.4,12.19,7,74.21,79.99333333333334,400.9,484.3,11.91,12.663333333333334
Manila_Bay,2018,2119.1,186.1,27.45,82.2,3.92,11.6,41.54,28.5,65.16,1541.5,3550.0,53.92,67.53,53.02,0.6,2,76.23,76.33,88.79,637.4,13.54,7,71.62,78.20666666666666,486.4,508.2333333333333,12.19,12.546666666666667
Manila_Bay,2019,2472.3,147.2,27.48,77.3,3.35,11.5,44.96,26.86,59.15,1197.6,3462.1,49.8,74.39,43.49,0.62,3,76.16,77.06,83.01,452.5,11.86,7,88.79,81.14,637.4,525.4333333333333,13.54,12.53
Manila_Bay,2020,1848.3,121.4,26.93,80.6,4.66,14.5,41.32,31.03,73.55,1230.5,3508.2,52.12,74.51,56.26,0.35,2,76.69,75.92,80.89,707.9,13.84,7,83.01,84.23,452.5,599.2666666666667,11.86,13.08
Manila_Bay,2021,1550.7,143.4,26.91,82.7,3.21,14.6,50.07,29.37,65.68,1563.4,3787.2,50.74,63.73,56.68,1.59,1,74.56,76.27,80.5,501.9,12.08,7,80.89,81.46666666666667,707.9,554.1,13.84,12.593333333333334
Manila_Bay,2022,1727.0,116.6,26.9,78.2,4.28,7.4,33.52,32.46,72.09,1591.2,3816.3,47.82,61.83,54.88,1.32,3,73.58,74.96,84.78,726.0,14.24,7,80.5,82.05666666666666,501.9,645.2666666666668,12.08,13.386666666666668
Manila_Bay,2023,1588.3,129.9,27.34,80.1,3.79,12.3,40.96,34.74,70.22,1398.5,3594.2,58.91,69.13,49.66,1.44,0,74.7,76.4,78.59,431.4,11.8,7,84.78,81.29,726.0,553.1,14.24,12.706666666666665
Manila_Bay,2024,1368.2,105.4,28.05,80.1,3.64,9.8,35.25,39.26,70.96,1208.7,3715.9,52.15,66.56,55.58,0.63,1,76.15,75.4,76.33,617.9,11.82,7,78.59,79.89999999999999,431.4,591.7666666666668,11.8,12.62
Mekong_Central,2015,2043.3,187.5,27.68,77.2,3.93,9.6,44.71,27.32,54.7,751.8,3507.4,29.18,56.3,49.43,1.06,3,80.12,79.2,89.68,784.8,9.23,8,78.56,84.12,438.2,611.5,7.61,8.42
Mekong_Central,2016,1269.9,105.0,28.46,85.2,3.64,10.1,38.51,32.41,66.31,810.5,2176.3,46.7,62.33,33.37,1.09,2,79.91,79.05,81.23,451.1,6.87,8,89.68,83.15666666666668,784.8,558.0333333333333,9.23,7.903333333333333
Mekong_Central,2017,900.2,157.8,27.58,78.3,3.32,9.9,38.72,30.21,47.0,717.8,2816.7,46.7,57.4,45.77,1.67,2,80.56,80.01,83.75,546.5,7.74,8,81.23,84.88666666666667,451.1,594.1333333333333,6.87,7.946666666666666
Mekong_Central,2018,2022.6,237.5,25.9,74.5,4.79,13.1,50.37,31.95,53.46,827.3,2470.2,38.31,62.66,46.66,1.18,1,79.57,78.53,100.0,688.5,9.11,8,83.75,88.32666666666667,546.5,562.0333333333333,7.74,7.906666666666666
Mekong_Central,2019,1533.9,100.8,28.34,75.8,2.88,3.4,43.35,30.81,50.86,1112.8,3150.2,44.11,64.82,46.11,0.59,1,80.98,80.48,79.88,510.0,7.55,8,100.0,87.87666666666667,688.5,581.6666666666666,9.11,8.133333333333333
Mekong_Central,2020,1703.4,176.9,28.34,76.0,3.6,7.8,48.17,33.76,57.56,778.2,3115.6,40.3,59.73,39.64,0.55,2,79.55,79.94,93.66,573.4,9.31,8,79.88,91.17999999999999,510.0,590.6333333333333,7.55,8.656666666666666
Mekong_Central,2021,1417.5,165.2,26.35,78.5,4.35,6.7,44.87,31.09,55.88,724.4,2770.4,58.46,62.62,49.31,1.25,0,80.47,81.29,82.46,549.1,7.35,8,93.66,85.33333333333333,573.4,544.1666666666666,9.31,8.07
Mekong_Central,2022,2495.6,167.5,26.36,76.9,5.14,4.7,32.26,34.27,56.39,891.5,3293.6,42.39,49.23,54.52,0.5,2,81.32,79.54,93.2,800.2,9.77,8,82.46,89.77333333333333,549.1,640.9000000000001,7.35,8.81
Mekong_Central,2023,1445.0,165.6,25.56,80.3,3.22,17.5,43.01,32.48,62.11,1073.6,3222.6,40.3,56.38,44.78,0.98,2,77.58,80.4,84.7,553.8,7.41,8,93.2,86.78666666666668,800.2,634.3666666666667,9.77,8.176666666666668
Mekong_Central,2024,1485.6,12.0,26.74,75.4,3.92,8.8,40.92,39.63,63.97,1080.5,2900.0,48.47,57.83,44.32,1.2,1,81.79,79.81,74.59,635.2,7.82,8,84.7,84.16333333333334,553.8,663.0666666666667,7.41,8.333333333333334
Mekong_Delta,2015,2346.5,179.3,27.6,82.4,4.22,7.9,51.14,30.1,68.6,2183.6,3629.1,57.34,80.98,53.96,0.5,3,82.85,84.65,95.15,654.5,17.44,9,81.27,88.21000000000001,573.0,613.75,15.9,16.67
Mekong_Delta,2016,1988.3,123.1,28.2,77.2,3.09,8.1,43.32,27.47,82.75,1635.5,3237.9,63.49,72.88,54.46,0.12,3,83.45,85.07,82.24,472.4,15.84,9,95.15,86.21999999999998,654.5,566.6333333333333,17.44,16.393333333333334
Mekong_Delta,2017,1004.5,95.7,27.24,75.6,3.65,9.7,48.91,27.82,86.58,1918.5,3809.5,62.6,87.43,50.81,0.89,0,85.23,85.44,78.82,459.4,15.39,9,82.24,85.40333333333335,472.4,528.7666666666667,15.84,16.223333333333333
Mekong_Delta,2018,2032.1,223.7,26.65,79.3,3.58,8.8,41.83,29.71,72.0,1691.3,3944.7,50.89,73.81,58.29,0.45,4,83.98,84.2,96.79,808.4,18.42,9,78.82,85.94999999999999,459.4,580.0666666666666,15.39,16.55
Mekong_Delta,2019,1244.0,153.2,27.31,78.8,3.4,4.0,45.19,30.86,85.08,1521.1,4310.8,57.19,77.5,63.17,0.68,2,81.75,84.14,81.97,480.2,16.1,9,96.79,85.86,808.4,582.6666666666666,18.42,16.636666666666667
Mekong_Delta,2020,2045.7,201.1,27.37,76.0,4.57,7.5,47.88,35.33,76.35,1600.5,3674.1,55.3,74.62,60.84,1.36,2,85.02,85.17,97.26,658.0,17.78,9,81.97,92.00666666666666,480.2,648.8666666666667,16.1,17.433333333333334
Mekong_Delta,2021,1326.5,134.2,26.65,77.3,3.84,9.1,37.5,36.49,82.04,1559.0,3642.8,64.31,75.67,48.9,0.3,1,83.6,84.5,82.59,575.2,16.25,9,97.26,87.27333333333333,658.0,571.1333333333333,17.78,16.709999999999997
Mekong_Delta,2022,2261.8,222.9,28.39,78.9,3.44,8.8,47.84,33.76,85.32,1962.0,4080.5,64.08,78.27,48.04,0.75,3,84.03,84.73,95.27,804.6,18.94,9,82.59,91.70666666666666,575.2,679.2666666666668,16.25,17.656666666666666
Mekong_Delta,2023,1279.8,124.4,26.73,79.8,3.89,10.2,43.96,43.31,71.66,1452.9,3812.1,51.11,69.34,55.99,0.54,1,85.62,84.39,83.93,607.3,16.48,9,95.27,87.26333333333334,804.6,662.3666666666667,18.94,17.223333333333333
